site,name,dateTimeUTC,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),winddirection,windspeed (m/s)
TA00216,Makerere Synoptic,2019-02-01 00:00:00,83,0,87.59,0,19.92,S,0.52
TA00216,Makerere Synoptic,2019-02-01 01:00:00,90,0.02,87.6,0,19.76,W,0.56
TA00216,Makerere Synoptic,2019-02-01 02:00:00,93,0.03,87.63,0,19.14,S,0.54
TA00216,Makerere Synoptic,2019-02-01 03:00:00,92,0.02,87.68,0.08,19.08,SW,0.57
TA00216,Makerere Synoptic,2019-02-01 04:00:00,93,0.02,87.72,14.18,18.91,S,0.62
TA00216,Makerere Synoptic,2019-02-01 05:00:00,89,0,87.81,51.83,20.33,S,0.5
TA00216,Makerere Synoptic,2019-02-01 06:00:00,77,0,87.88,304.4,23.88,SE,0.51
TA00216,Makerere Synoptic,2019-02-01 07:00:00,61,0,87.9,493.1,29.17,SE,2.79
TA00216,Makerere Synoptic,2019-02-01 08:00:00,58,0,87.88,550.48,29.99,SE,3.46
TA00216,Makerere Synoptic,2019-02-01 09:00:00,61,0,87.79,440.25,29.55,SE,3.43
TA00216,Makerere Synoptic,2019-02-01 10:00:00,57,0,87.7,674.05,30.43,SE,3.58
TA00216,Makerere Synoptic,2019-02-01 11:00:00,52,0,87.6,684.43,30.85,SE,3.8
TA00216,Makerere Synoptic,2019-02-01 12:00:00,53,0,87.53,567.18,30.89,SE,3.8
TA00216,Makerere Synoptic,2019-02-01 13:00:00,51,0,87.48,393.18,30.67,SE,3.62
TA00216,Makerere Synoptic,2019-02-01 14:00:00,55,0,87.48,211.27,30.09,SE,3.27
TA00216,Makerere Synoptic,2019-02-01 15:00:00,63,0,87.48,49.18,27.73,SE,3.01
TA00216,Makerere Synoptic,2019-02-01 16:00:00,72,0,87.5,1.03,25.14,SE,2.68
TA00216,Makerere Synoptic,2019-02-01 17:00:00,75,0,87.52,0,23.94,SE,2.24
TA00216,Makerere Synoptic,2019-02-01 18:00:00,76,0,87.57,0,23.14,SE,2.19
TA00216,Makerere Synoptic,2019-02-01 19:00:00,82,0,87.58,0,22.18,SE,1.84
TA00216,Makerere Synoptic,2019-02-01 20:00:00,88,0,87.59,0,21.36,SE,1.05
TA00216,Makerere Synoptic,2019-02-01 21:00:00,91,0,87.63,0,20.66,SE,0.77
TA00216,Makerere Synoptic,2019-02-01 22:00:00,94,0,87.62,0,20.26,SE,0.92
TA00216,Makerere Synoptic,2019-02-01 23:00:00,94,0.02,87.56,0,20.03,SE,0.71
TA00216,Makerere Synoptic,2019-02-02 00:00:00,87,0.02,87.53,0,20.23,SE,0.64
TA00216,Makerere Synoptic,2019-02-02 01:00:00,84,0,87.54,0,20.93,SW,0.5
TA00216,Makerere Synoptic,2019-02-02 02:00:00,91,0,87.56,0,20.35,SE,0.57
TA00216,Makerere Synoptic,2019-02-02 03:00:00,89,0,87.62,0,19.46,S,0.57
TA00216,Makerere Synoptic,2019-02-02 04:00:00,84,0,87.68,16.92,19.82,SE,0.69
TA00216,Makerere Synoptic,2019-02-02 05:00:00,78,0,87.73,58.57,22.11,S,1.08
TA00216,Makerere Synoptic,2019-02-02 06:00:00,57,0,87.78,345.36,26.15,S,2.37
TA00216,Makerere Synoptic,2019-02-02 07:00:00,43,0,87.8,523.66,29.04,SE,4.21
TA00216,Makerere Synoptic,2019-02-02 08:00:00,36,0,87.78,664.98,30.93,SE,4.42
TA00216,Makerere Synoptic,2019-02-02 09:00:00,34,0,87.73,739.52,31.27,SE,4.47
TA00216,Makerere Synoptic,2019-02-02 10:00:00,37,0,87.62,743.5,31.72,SE,4.4
TA00216,Makerere Synoptic,2019-02-02 11:00:00,43,0,87.51,682.22,31.59,SE,4.35
TA00216,Makerere Synoptic,2019-02-02 12:00:00,43,0,87.42,565.53,31.53,SE,4.4
TA00216,Makerere Synoptic,2019-02-02 13:00:00,40,0,87.38,409.02,31.25,SE,4.33
TA00216,Makerere Synoptic,2019-02-02 14:00:00,41,0,87.38,206.79,30.22,SE,4.17
TA00216,Makerere Synoptic,2019-02-02 15:00:00,50,0,87.4,37.33,27.58,SE,3.75
TA00216,Makerere Synoptic,2019-02-02 16:00:00,60,0,87.44,0.67,25.24,SE,3.39
TA00216,Makerere Synoptic,2019-02-02 17:00:00,68,0,87.49,0,24.19,SE,3
TA00216,Makerere Synoptic,2019-02-02 18:00:00,78,0,87.53,0,23.25,SE,2.33
TA00216,Makerere Synoptic,2019-02-02 19:00:00,85,0,87.57,0,22.69,SE,1.4
TA00216,Makerere Synoptic,2019-02-02 20:00:00,89,0,87.55,0,21.93,SE,0.88
TA00216,Makerere Synoptic,2019-02-02 21:00:00,92,0,87.58,0,21.08,SE,0.88
TA00216,Makerere Synoptic,2019-02-02 22:00:00,91,0,87.62,0,21.22,S,0.71
TA00216,Makerere Synoptic,2019-02-02 23:00:00,93,0.02,87.56,0,20.38,SE,0.69
TA00216,Makerere Synoptic,2019-02-03 00:00:00,93,0.02,87.53,0,20.06,S,0.7
TA00216,Makerere Synoptic,2019-02-03 01:00:00,88,0.02,87.52,0,20.53,W,0.45
TA00216,Makerere Synoptic,2019-02-03 02:00:00,93,0.03,87.54,0,20.03,SW,0.43
TA00216,Makerere Synoptic,2019-02-03 03:00:00,86,0,87.6,0.07,19.84,S,0.52
TA00216,Makerere Synoptic,2019-02-03 04:00:00,92,0.02,87.63,17.4,18.82,SE,0.68
TA00216,Makerere Synoptic,2019-02-03 05:00:00,89,0.02,87.66,62.3,20.94,S,1.11
TA00216,Makerere Synoptic,2019-02-03 06:00:00,67,0,87.69,348.83,25.58,SE,1.42
TA00216,Makerere Synoptic,2019-02-03 07:00:00,52,0,87.69,527.37,29.66,SE,3.36
TA00216,Makerere Synoptic,2019-02-03 08:00:00,53,0,87.68,655.1,30.64,SE,3.97
TA00216,Makerere Synoptic,2019-02-03 09:00:00,52,0,87.61,745.27,31.32,SE,3.96
TA00216,Makerere Synoptic,2019-02-03 10:00:00,45,0,87.53,761.52,31.85,SE,3.79
TA00216,Makerere Synoptic,2019-02-03 11:00:00,39,0,87.44,682.87,32.03,SE,4.3
TA00216,Makerere Synoptic,2019-02-03 12:00:00,41,0,87.38,499.12,31.54,SE,4.19
TA00216,Makerere Synoptic,2019-02-03 13:00:00,42,0,87.33,385.9,31.06,SE,4
TA00216,Makerere Synoptic,2019-02-03 14:00:00,47,0,87.31,180.6,30.05,SE,3.94
TA00216,Makerere Synoptic,2019-02-03 15:00:00,58,0,87.33,41.78,27.91,SE,3.49
TA00216,Makerere Synoptic,2019-02-03 16:00:00,68,0,87.39,0.77,25.68,SE,3.06
TA00216,Makerere Synoptic,2019-02-03 17:00:00,75,0,87.44,0,24.36,SE,2.61
TA00216,Makerere Synoptic,2019-02-03 18:00:00,82,0,87.5,0,23.61,SE,2.05
TA00216,Makerere Synoptic,2019-02-03 19:00:00,86,0,87.52,0,22.86,SE,1.3
TA00216,Makerere Synoptic,2019-02-03 20:00:00,87,0,87.51,0,22.16,S,1.03
TA00216,Makerere Synoptic,2019-02-03 21:00:00,89,0,87.47,0,21.53,S,0.86
TA00216,Makerere Synoptic,2019-02-03 22:00:00,92,0,87.47,0,21.04,S,0.77
TA00216,Makerere Synoptic,2019-02-03 23:00:00,94,0.02,87.51,0,20.72,SE,0.84
TA00216,Makerere Synoptic,2019-02-04 00:00:00,95,0.03,87.48,0,20.43,S,0.56
TA00216,Makerere Synoptic,2019-02-04 01:00:00,97,0.03,87.48,0,20.15,SW,0.68
TA00216,Makerere Synoptic,2019-02-04 02:00:00,97,0.02,87.51,0,19.7,S,0.72
TA00216,Makerere Synoptic,2019-02-04 03:00:00,98,0.03,87.55,0.02,19.3,S,0.71
TA00216,Makerere Synoptic,2019-02-04 04:00:00,98,0.02,87.59,16.33,19.75,SW,0.46
TA00216,Makerere Synoptic,2019-02-04 05:00:00,96,0.02,87.6,63.82,21.59,W,0.73
TA00216,Makerere Synoptic,2019-02-04 06:00:00,82,0,87.66,339.3,25.86,SW,1.24
TA00216,Makerere Synoptic,2019-02-04 07:00:00,61,0,87.66,515.83,28.87,S,1.79
TA00216,Makerere Synoptic,2019-02-04 08:00:00,54,0,87.64,653.27,30.16,SE,4.22
TA00216,Makerere Synoptic,2019-02-04 09:00:00,51,0,87.56,720.85,30.69,SE,4.52
TA00216,Makerere Synoptic,2019-02-04 10:00:00,49,0,87.5,730.27,31.01,SE,4.25
TA00216,Makerere Synoptic,2019-02-04 11:00:00,46,0,87.42,692.07,31.12,SE,4.77
TA00216,Makerere Synoptic,2019-02-04 12:00:00,50,0,87.35,575.62,31.6,SE,4.63
TA00216,Makerere Synoptic,2019-02-04 13:00:00,55,0,87.28,402.7,30.83,SE,4.57
TA00216,Makerere Synoptic,2019-02-04 14:00:00,52,0,87.29,214.55,30.44,SE,3.99
TA00216,Makerere Synoptic,2019-02-04 15:00:00,59,0,87.3,48.52,28.01,SE,3.79
TA00216,Makerere Synoptic,2019-02-04 16:00:00,67,0,87.33,0.83,25.29,SE,3.24
TA00216,Makerere Synoptic,2019-02-04 17:00:00,73,0,87.37,0,24.03,SE,2.48
TA00216,Makerere Synoptic,2019-02-04 18:00:00,75,0,87.41,0,23.37,SE,1.83
TA00216,Makerere Synoptic,2019-02-04 19:00:00,77,0,87.44,0,22.97,SE,1.58
TA00216,Makerere Synoptic,2019-02-04 20:00:00,81,0,87.46,0,22.36,SE,1.38
TA00216,Makerere Synoptic,2019-02-04 21:00:00,84,0,87.52,0,21.75,SE,1.11
TA00216,Makerere Synoptic,2019-02-04 22:00:00,86,0,87.56,0,21.27,SE,1.12
TA00216,Makerere Synoptic,2019-02-04 23:00:00,89,0,87.52,0,20.86,SE,1.18
TA00216,Makerere Synoptic,2019-02-05 00:00:00,91,0,87.5,0,20.3,SE,0.99
TA00216,Makerere Synoptic,2019-02-05 01:00:00,92,0,87.47,0,20.5,SE,0.88
TA00216,Makerere Synoptic,2019-02-05 02:00:00,92,0,87.48,0,20.56,S,0.91
TA00216,Makerere Synoptic,2019-02-05 03:00:00,91,0,87.51,0,20.99,W,0.77
TA00216,Makerere Synoptic,2019-02-05 04:00:00,92,0,87.54,19.35,20.54,SE,0.75
TA00216,Makerere Synoptic,2019-02-05 05:00:00,89,0,87.61,73.87,21.97,S,0.94
TA00216,Makerere Synoptic,2019-02-05 06:00:00,82,0,87.69,171.25,24.36,S,0.82
TA00216,Makerere Synoptic,2019-02-05 07:00:00,70,0,87.72,435.38,27.7,S,1.67
TA00216,Makerere Synoptic,2019-02-05 08:00:00,60,0,87.73,476.53,29.93,SE,4.2
TA00216,Makerere Synoptic,2019-02-05 09:00:00,57,0,87.7,506.03,30.08,SE,4.73
TA00216,Makerere Synoptic,2019-02-05 10:00:00,61,0,87.62,408.53,29.25,SE,4.66
TA00216,Makerere Synoptic,2019-02-05 11:00:00,60,0,87.54,608.43,29.8,SE,4.66
TA00216,Makerere Synoptic,2019-02-05 12:00:00,62,0,87.46,269.63,28.66,SE,4.35
TA00216,Makerere Synoptic,2019-02-05 13:00:00,60,0,87.4,126.53,27.39,SE,4.04
TA00216,Makerere Synoptic,2019-02-05 14:00:00,62,0,87.36,67.67,26.74,SE,3.79
TA00216,Makerere Synoptic,2019-02-05 15:00:00,68,0,87.37,17.15,25.95,SE,3.63
TA00216,Makerere Synoptic,2019-02-05 16:00:00,70,0,87.4,0.25,25.12,SE,3.34
TA00216,Makerere Synoptic,2019-02-05 17:00:00,69,0,87.41,0,24.66,SE,3.21
TA00216,Makerere Synoptic,2019-02-05 18:00:00,74,0,87.48,0,24.19,SE,3.1
TA00216,Makerere Synoptic,2019-02-05 19:00:00,79,0,87.54,0,23.75,SE,2.52
TA00216,Makerere Synoptic,2019-02-05 20:00:00,84,0,87.56,0,23.18,SE,1.25
TA00216,Makerere Synoptic,2019-02-05 21:00:00,88,0,87.56,0,22.25,SE,0.73
TA00216,Makerere Synoptic,2019-02-05 22:00:00,92,0,87.52,0,21.32,SE,0.81
TA00216,Makerere Synoptic,2019-02-05 23:00:00,94,0,87.53,0,20.83,SE,0.93
TA00216,Makerere Synoptic,2019-02-06 00:00:00,95,0.02,87.52,0,20.68,SE,0.86
TA00216,Makerere Synoptic,2019-02-06 01:00:00,94,0.02,87.54,0,21.16,S,1.08
TA00216,Makerere Synoptic,2019-02-06 02:00:00,96,0.02,87.6,0,20.55,SE,0.88
TA00216,Makerere Synoptic,2019-02-06 03:00:00,96,0.02,87.63,0.13,20.21,S,0.73
